,Name,Age,Club,OVA,POT,Height,Weight,Nationality,BP,PAC,SHO,PAS,DRI,DEF,PHY,Wage,Value
6334,N. Kanté,29,Chelsea,88,88,168,154,France,CDM,77,66,76,81,86,82,190,51000
459,G. Chiellini,35,Juventus,87,87,188,187,Italy,CB,66,46,58,60,90,79,94,15500
1038,H. Lloris,33,Tottenham Hotspur,87,87,188,181,France,GK,89,82,68,90,63,84,125,27000
1374,L. Suárez,33,Atlético Madrid,87,87,183,190,Uruguay,ST,70,90,82,83,51,83,115,31500
1412,L. Modrić,34,Real Madrid,87,87,173,146,Croatia,CM,73,76,89,88,71,66,260,24500
1893,A. Di María,32,Paris Saint-Germain,87,87,180,152,Argentina,RW,83,81,85,88,48,68,160,39000
2059,W. Szczęsny,30,Juventus,87,87,196,198,Poland,GK,86,82,73,88,49,87,105,34000
2291,P. Aubameyang,31,Arsenal,87,87,188,176,Gabon,ST,93,86,75,80,38,69,170,45000
2436,Sergio Busquets,31,FC Barcelona,87,87,188,168,Spain,CDM,42,62,80,80,83,77,240,38000
2788,C. Immobile,30,Lazio,87,87,185,187,Italy,ST,84,88,67,83,39,77,125,48500
2879,K. Navas,33,Paris Saint-Germain,87,87,185,176,Costa Rica,GK,90,81,75,90,53,82,110,27000
3103,A. Griezmann,29,FC Barcelona,87,87,175,161,France,ST,79,85,84,88,57,72,290,50500
3620,H. Son,27,Tottenham Hotspur,87,87,183,172,Korea Republic,LM,88,86,80,87,43,69,165,52500
3915,Roberto Firmino,28,Liverpool,87,87,180,168,Brazil,CF,77,80,81,90,61,78,190,52000
5137,Fabinho,26,Liverpool,87,89,188,172,Brazil,CDM,67,69,79,77,85,83,155,54500
5634,Bruno Fernandes,25,Manchester United,87,90,178,152,Portugal,CAM,77,83,88,85,68,75,195,63000
5643,A. Laporte,26,Manchester City,87,90,188,187,France,CB,63,50,72,68,88,81,200,56000
6388,A. Robertson,26,Liverpool,87,89,178,141,Scotland,LB,82,62,80,80,81,76,155,53000
6606,Bernardo Silva,25,Manchester City,87,88,173,141,Portugal,RW,81,77,83,92,51,67,230,60000
9213,T. Alexander-Arnold,21,Liverpool,87,92,180,152,England,RB,80,66,87,80,80,71,110,60000
9634,J. Sancho,20,Borussia Dortmund,87,93,180,168,England,CAM,83,74,81,91,37,64,82,69500
539,A. Gómez,32,Atalanta,86,86,168,150,Argentina,CAM,90,79,84,88,39,55,100,34500
644,Piqué,33,FC Barcelona,86,86,193,187,Spain,CB,57,61,71,67,86,80,220,21000
1051,David Silva,34,Real Sociedad,86,86,173,148,Spain,CAM,64,74,88,88,52,55,58,22500
1454,M. Benatia,31,Juventus,86,86,188,207,Morocco,CB,71,45,54,64,87,84,160,30000
1484,Y. Sommer,31,Borussia Mönchengladbach,86,86,183,174,Switzerland,GK,80,86,85,85,51,87,55,28500
1567,M. Hummels,31,Borussia Dortmund,86,86,190,207,Germany,CB,58,58,77,72,89,77,93,33000
1613,E. Cavani,32,Paris Saint-Germain,86,86,185,170,Uruguay,ST,75,85,70,76,55,83,150,35500
1870,J. Henderson,30,Liverpool,86,86,183,176,England,CDM,65,74,84,79,81,82,140,36500
2399,Jordi Alba,31,FC Barcelona,86,86,170,150,Spain,LB,88,69,81,83,78,72,220,32000
2453,T. Müller,30,FC Bayern München,86,86,185,165,Germany,CAM,68,82,82,78,56,71,130,42000
2888,De Gea,29,Manchester United,86,86,193,181,Spain,GK,88,81,78,89,58,82,150,31500
3172,P. Pogba,27,Manchester United,86,87,190,185,France,CM,73,81,86,85,66,85,190,50000
3520,M. Verratti,27,Paris Saint-Germain,86,87,165,132,Italy,CM,64,60,85,90,79,67,135,50000
3876,R. Varane,27,Real Madrid,86,88,190,179,France,CB,82,49,64,64,87,82,220,46500
4463,Carvajal,28,Real Madrid,86,86,173,161,Spain,RB,80,54,78,80,82,80,230,38000
5047,J. Vardy,33,Leicester City,86,86,178,163,England,ST,88,85,66,78,55,75,160,28000
910,Filipe Luís,32,Atlético Madrid,85,85,183,163,Brazil,LWB,75,62,78,78,81,78,80,21500
911,Thiago Silva,35,Chelsea,85,85,183,174,Brazil,CB,59,54,72,71,86,78,93,11500
1332,D. Mertens,33,Napoli,85,85,170,134,Belgium,CF,86,82,80,89,35,51,115,24000
1633,M. Pjanić,30,FC Barcelona,85,85,178,159,Bosnia Herzegovina,CM,67,68,87,85,75,67,220,35500
1676,G. Wijnaldum,29,Liverpool,85,85,175,152,Netherlands,CM,76,75,81,86,78,79,150,37000
1750,D. Godín,34,Cagliari,85,85,188,172,Uruguay,CB,57,48,64,61,87,79,56,14500
1921,T. Alderweireld,31,Tottenham Hotspur,85,85,185,179,Belgium,CB,63,55,72,67,87,79,130,28500
1942,Y. Brahimi,28,FC Porto,85,85,175,146,Algeria,RW,80,75,78,90,41,59,30,39000
1952,L. Bonucci,33,Juventus,85,85,190,187,Italy,CB,60,58,69,70,87,77,110,18000
2025,P. Gulácsi,30,RB Leipzig,85,85,190,190,Hungary,GK,84,85,82,86,43,84,65,26000
2262,M. Reus,31,Borussia Dortmund,85,85,180,157,Germany,CAM,80,86,84,85,45,63,94,34000
2265,K. Walker,30,Manchester City,85,85,183,154,England,RB,92,63,76,77,80,82,170,30500
2434,Thiago,29,Liverpool,85,85,175,154,Spain,CM,64,72,85,90,70,62,150,37000
2437,Parejo,31,Villarreal CF,85,85,183,163,Spain,CM,50,83,90,81,71,69,59,33000
2560,C. Eriksen,28,Inter,85,85,180,168,Denmark,CAM,72,81,88,81,53,63,155,39000
2675,Alex Sandro,29,Juventus,85,85,180,176,Brazil,LB,81,65,77,80,81,81,120,31500
2803,R. Lukaku,27,Inter,85,86,190,207,Belgium,ST,81,83,76,75,38,84,165,45000
2811,B. Leno,28,Arsenal,85,87,190,181,Germany,GK,85,83,80,86,56,84,105,33500
3010,Koke,28,Atlético Madrid,85,85,175,170,Spain,CM,67,75,85,81,76,80,92,38000
3330,L. Insigne,29,Napoli,85,85,163,130,Italy,LW,88,78,83,91,36,44,120,37500
3402,Luis Alberto,27,Lazio,85,85,183,163,Spain,CAM,74,76,86,85,58,59,99,40500
3848,M. Icardi,27,Paris Saint-Germain,85,86,180,165,Argentina,ST,73,85,65,78,36,68,135,45000
4036,M. Depay,26,Olympique Lyonnais,85,88,175,172,Netherlands,CAM,86,83,81,84,32,80,115,48500
4367,R. Mahrez,29,Manchester City,85,85,178,148,Algeria,RW,83,79,81,90,38,59,210,37500
4681,S. Gnabry,24,FC Bayern München,85,87,175,165,Germany,RM,82,83,78,86,43,70,100,47500
4869,Marquinhos,26,Paris Saint-Germain,85,89,183,165,Brazil,CB,72,41,73,70,87,78,115,44000
5024,H. Ziyech,27,Chelsea,85,86,180,143,Morocco,CAM,80,76,87,84,50,66,140,44000
5254,Ricardo Pereira,26,Leicester City,85,87,175,154,Portugal,RB,83,66,79,82,81,76,120,40500
5628,T. Werner,24,Chelsea,85,88,180,168,Germany,ST,91,85,69,84,35,71,135,49500
6845,C. Lenglet,25,FC Barcelona,85,89,185,179,France,CB,74,45,67,65,87,81,190,44500
7227,L. Sané,24,FC Bayern München,85,90,183,165,Germany,LM,93,81,79,86,38,67,100,51500
7500,S. Milinković-Savić,25,Lazio,85,89,190,168,Serbia,CM,69,79,80,83,79,85,94,49000
8490,F. de Jong,23,FC Barcelona,85,90,180,163,Netherlands,CM,80,64,84,87,76,77,190,50500
9053,G. Donnarumma,21,Milan,85,92,196,198,Italy,GK,89,81,76,89,50,83,34,41500
9318,M. Rashford,22,Manchester United,85,91,185,154,England,RM,91,83,78,86,45,78,150,53000
9352,Rodri,24,Manchester City,85,88,190,181,Spain,CDM,65,68,77,77,82,79,145,44000
9463,M. Škriniar,25,Inter,85,89,188,176,Slovakia,CB,69,41,59,66,87,81,130,44500
10213,M. de Ligt,20,Juventus,85,92,188,196,Netherlands,CB,72,59,66,69,85,84,80,49500
10355,K. Havertz,21,Chelsea,85,93,188,183,Germany,CAM,84,81,79,85,45,67,105,57000
402,Fernandinho,35,Manchester City,84,84,178,148,Brazil,CB,64,72,78,78,85,79,110,9500
570,Jesús Navas,34,Sevilla FC,84,84,173,132,Spain,RB,87,69,79,83,80,58,43,11000
886,K. Schmeichel,33,Leicester City,84,84,188,196,Denmark,GK,82,77,83,89,54,79,90,17000
1047,S. Sirigu,33,Torino,84,84,193,176,Italy,GK,84,80,76,82,51,84,54,17000
1267,C. Marchisio,31,Juventus,84,84,180,163,Italy,CM,78,69,83,84,74,74,130,19500
1351,Lucas Leiva,33,Lazio,84,84,178,172,Brazil,CDM,60,66,76,78,83,71,83,15000
1444,A. Witsel,31,Borussia Dortmund,84,84,185,179,Belgium,CDM,63,73,81,79,82,82,79,23500
1506,Rui Patrício,32,Wolverhampton Wanderers,84,84,190,185,Portugal,GK,84,80,77,83,55,82,90,19000
1961,Azpilicueta,30,Chelsea,84,84,178,170,Spain,RB,67,55,77,72,84,76,120,24500
2019,José Callejón,33,Napoli,84,84,178,161,Spain,RM,88,78,75,83,47,63,96,19000
2355,R. Bürki,29,Borussia Dortmund,84,85,188,187,Switzerland,GK,85,82,72,88,47,82,67,25000
2562,Douglas Costa,29,Juventus,84,84,173,154,Brazil,LM,93,73,79,91,43,59,120,30500
2832,Iago Aspas,32,RC Celta,84,84,175,148,Spain,ST,82,85,78,86,35,63,46,25000
2908,J. Corona,27,Mexico,84,84,173,137,Mexico,RM,84,68,78,88,77,60,25,32500
2969,I. Gueye,30,Paris Saint-Germain,84,84,175,146,Senegal,CDM,69,61,71,78,85,79,105,25500
3239,D. Alaba,28,FC Bayern München,84,84,180,172,Austria,CB,77,70,81,79,83,76,105,27500
3252,Isco,28,Real Madrid,84,84,175,174,Spain,CAM,68,75,82,90,59,59,210,31500
3278,Pizzi,30,Portugal,84,84,178,159,Portugal,RM,75,78,83,83,65,68,25,29500
3319,S. de Vrij,28,Inter,84,85,188,172,Netherlands,CB,68,41,62,68,86,75,130,30500
3503,W. Ben Yedder,29,AS Monaco,84,84,170,150,France,CF,84,83,77,87,39,63,91,31000
3681,L. Digne,26,Everton,84,85,178,163,France,LB,78,69,80,79,80,76,110,31500
3704,J. Iličić,32,Atalanta,84,84,190,174,Slovenia,CAM,70,86,84,85,43,68,92,25000
4436,R. Jiménez,29,Wolverhampton Wanderers,84,84,188,179,Mexico,ST,78,82,76,82,49,83,140,31000
4868,Felipe,31,Atlético Madrid,84,84,190,183,Brazil,CB,62,41,58,61,86,86,74,23000
4972,Saúl,25,Atlético Madrid,84,87,183,168,Spain,CM,68,79,79,81,78,79,77,38500
5161,L. Goretzka,25,FC Bayern München,84,88,188,168,Germany,CM,78,78,80,82,77,85,105,39500
5195,R. Guerreiro,26,Borussia Dortmund,84,85,170,157,Portugal,CAM,74,78,84,87,73,57,86,36500
5207,T. Partey,27,Atlético Madrid,84,85,185,170,Ghana,CM,71,74,81,81,82,85,81,35000
5224,Grimaldo,24,SL Benfica,84,88,170,152,Spain,LWB,85,65,79,84,77,71,20,35500
5455,N. Tagliafico,27,Ajax,84,84,173,143,Argentina,LB,82,56,73,76,82,79,27,27500
5465,A. Martial,24,Manchester United,84,88,183,168,France,ST,89,83,74,87,41,72,155,41000
5629,N. Süle,24,FC Bayern München,84,89,196,214,Germany,CB,69,42,59,49,85,81,84,37500
5631,J. Brandt,24,Borussia Dortmund,84,88,185,183,Germany,CAM,81,78,82,87,51,66,75,40500
5701,Alex Telles,27,FC Porto,84,85,180,157,Brazil,LB,85,74,83,81,79,76,23,31000
5861,K. Coman,24,FC Bayern München,84,88,178,165,France,RM,93,76,77,87,29,59,94,40500
6410,M. Brozović,27,Inter,84,85,180,150,Croatia,CDM,63,74,80,81,79,78,125,32000
6438,J. Giménez,25,Atlético Madrid,84,88,185,176,Uruguay,CB,67,45,53,54,86,83,70,36000
8169,A. Onana,24,Ajax,84,88,190,205,Cameroon,GK,84,80,87,86,63,82,18,30000
8182,W. Ndidi,23,Leicester City,84,88,183,163,Nigeria,CB,71,62,68,74,87,84,96,36500
8857,Oyarzabal,23,Real Sociedad,84,90,180,174,Spain,CAM,81,82,80,84,41,63,47,42500
9060,Arthur,23,Juventus,84,89,170,161,Brazil,CM,66,73,82,87,75,71,98,41000
9266,L. Martínez,22,Inter,84,91,175,179,Argentina,ST,83,82,71,85,48,82,130,44500
11288,E. Haaland,19,Borussia Dortmund,84,92,193,194,Norway,ST,84,87,63,76,43,85,56,45000
185,Z. Ibrahimović,38,Milan,83,83,196,209,Sweden,ST,52,88,77,79,34,77,49,9500
421,A. Barzagli,37,Juventus,83,83,188,192,Italy,CB,68,34,56,63,88,72,90,1700
485,W. Sneijder,33,OGC Nice,83,83,170,159,Netherlands,CAM,68,78,86,82,38,57,50,15500
846,João Moutinho,33,Wolverhampton Wanderers,83,83,170,134,Portugal,CM,56,75,86,83,72,66,110,15000
895,S. Mandanda,35,Olympique de Marseille,83,83,185,181,France,GK,81,81,78,84,48,81,28,7000
1023,G. Higuaín,32,Inter Miami,83,83,185,196,Argentina,ST,65,85,71,80,31,69,17,20500
1078,Renato Augusto,32,Beijing Sinobo Guoan FC,83,83,185,190,Brazil,CM,71,79,82,81,72,77,33,19500
1091,C. Vela,31,Los Angeles FC,83,83,178,170,Mexico,RW,80,82,78,84,31,67,17,22500
1148,E. Garay,32,Valencia CF,83,83,188,198,Argentina,CB,43,60,68,61,82,81,48,16500
1164,B. Matuidi,33,Inter Miami,83,83,180,165,France,CDM,75,66,75,77,82,79,14,12500
1245,J. Vertonghen,33,Belgium,83,83,188,190,Belgium,CB,58,62,72,71,85,78,21,12000
1295,G. Bale,30,Tottenham Hotspur,83,83,185,181,Wales,RW,88,84,82,80,58,73,130,24500
1383,Marcelo,32,Real Madrid,83,83,175,165,Brazil,LB,79,73,80,88,76,76,170,16000
1556,R. Nainggolan,32,Inter,83,83,175,143,Belgium,CDM,71,80,80,83,83,81,125,20000
1559,E. Banega,32,Al Shabab,83,83,175,157,Argentina,CM,63,74,84,82,76,70,55,19500
1663,E. Džeko,34,Roma,83,83,193,176,Bosnia Herzegovina,ST,59,84,71,75,46,73,0.5,13500
1705,M. Mandžukić,33,Juventus,83,83,190,187,Croatia,ST,68,78,71,75,65,85,140,16500
1710,A. Vidal,33,Inter,83,83,180,165,Chile,CM,65,79,79,78,83,86,125,15000
1841,Yuri Berchiche,30,Athletic Club de Bilbao,83,83,180,176,Spain,LB,83,68,76,76,80,83,35,20500
1926,Fernando,32,Sevilla FC,83,83,183,168,Brazil,CDM,66,62,74,73,82,82,39,17000
2072,K. Trippier,29,Atlético Madrid,83,83,173,157,England,RB,73,60,81,77,79,72,71,21500
2143,I. Gündoğan,29,Manchester City,83,83,180,176,Germany,CM,66,74,84,84,72,71,160,25000
2216,Paulinho,31,Guangzhou Evergrande Taobao FC,83,83,183,176,Brazil,CM,72,82,77,82,80,85,39,22000
2239,Oscar,28,Shanghai SIPG FC,83,83,178,146,Brazil,CAM,78,79,83,83,58,65,25,26000
2331,K. Trapp,29,Eintracht Frankfurt,83,83,188,194,Germany,GK,82,78,79,85,49,83,35,18500
2386,Coutinho,28,FC Barcelona,83,83,173,150,Brazil,CAM,72,79,82,89,52,59,190,26000
2448,Muniain,27,Athletic Club de Bilbao,83,83,170,146,Spain,LW,81,75,80,87,51,60,41,27000
2660,L. Hrádecký,30,Bayer 04 Leverkusen,83,83,193,181,Finland,GK,85,78,69,87,41,83,63,17500
2855,K. Manolas,29,Napoli,83,84,188,183,Greece,CB,82,25,42,60,85,79,84,24500
2871,K. Casteels,28,VfL Wolfsburg,83,85,198,190,Belgium,GK,83,80,80,84,45,83,53,22500
2936,A. Lacazette,29,Arsenal,83,83,175,170,France,ST,76,82,75,84,46,75,125,26000
2942,Aitor,29,Levante UD,83,83,183,172,Spain,GK,84,78,74,86,55,81,31,18500
3220,J. Matip,28,Liverpool,83,84,193,198,Cameroon,CB,60,46,68,68,85,78,115,25500
3405,W. Zaha,27,Crystal Palace,83,83,180,146,Ivory Coast,LM,90,75,72,87,34,75,82,27000
3440,C. Aránguiz,31,Bayer 04 Leverkusen,83,83,170,154,Chile,CDM,60,72,82,81,78,73,78,19500
3500,D. Tadić,31,Ajax,83,83,180,168,Serbia,CF,66,80,84,84,41,73,30,23500
3508,A. Lopes,29,Olympique Lyonnais,83,84,183,179,Portugal,GK,85,80,74,86,64,80,69,21000
3525,Sergi Roberto,28,FC Barcelona,83,83,178,150,Spain,RB,77,63,81,78,77,73,175,22000
3590,F. Acerbi,32,Lazio,83,83,193,194,Italy,CB,62,50,62,63,86,83,75,16500
3602,Allan,29,Everton,83,83,175,163,Brazil,CDM,73,71,77,82,85,83,115,25000
3761,Lucas Moura,27,Tottenham Hotspur,83,83,175,154,Brazil,RM,92,78,72,87,43,67,120,27000
4189,T. Hazard,27,Borussia Dortmund,83,83,175,157,Belgium,LM,84,77,81,86,52,67,78,27000
4457,M. Sabitzer,26,RB Leipzig,83,85,178,168,Austria,CAM,80,83,80,80,65,78,73,31000
4473,Juan Bernat,27,Paris Saint-Germain,83,84,170,148,Spain,LB,81,64,79,83,76,67,95,25500
4474,Portu,28,Real Sociedad,83,83,168,146,Spain,RW,90,79,81,82,59,79,50,26000
4554,Jorginho,28,Chelsea,83,83,180,150,Italy,CM,55,65,84,80,72,73,125,25500
4587,S. Umtiti,26,FC Barcelona,83,86,183,165,France,CB,66,62,69,69,83,79,170,28500
4602,E. Višća,30,Medipol Başakşehir FK,83,83,173,139,Bosnia Herzegovina,RM,88,77,79,82,47,64,59,24500
4786,M. Kovačić,26,Chelsea,83,86,175,176,Croatia,CM,75,69,83,88,69,70,120,31500
4919,Gerard Moreno,28,Villarreal CF,83,83,180,170,Spain,ST,76,84,76,80,46,73,56,27000
5002,F. Kostić,27,Eintracht Frankfurt,83,83,183,181,Serbia,LM,88,76,79,83,68,80,45,27000
5296,A. Romagnoli,25,Milan,83,87,188,172,Italy,CB,70,40,56,69,85,78,51,30000
5320,João Cancelo,26,Manchester City,83,86,183,163,Portugal,RWB,86,65,79,83,77,70,140,28000
5427,D. Alli,24,Tottenham Hotspur,83,87,188,176,England,CAM,72,80,79,83,71,79,105,34000
5525,Gayà,25,Valencia CF,83,88,173,146,Spain,LWB,84,61,78,80,79,70,46,30500
5617,T. Strakosha,25,Lazio,83,88,193,172,Albania,GK,86,79,75,88,44,81,57,25500
6233,D. Zapata,29,Atalanta,83,83,188,194,Colombia,ST,75,81,59,78,37,83,87,26000
6462,Rafa,27,Portugal,83,83,173,146,Portugal,LM,94,73,74,87,50,52,23,27000
6466,N. Fekir,26,Real Betis,83,84,173,165,France,CAM,79,82,81,87,38,79,38,30500
6703,Diego Carlos,27,Sevilla FC,83,85,185,190,Brazil,CB,77,47,63,67,82,83,39,27000
6840,M. Dúbravka,31,Newcastle United,83,83,190,176,Slovakia,GK,79,80,81,86,46,82,47,16500
6966,Pau López,25,Roma,83,88,188,170,Spain,GK,82,83,79,84,49,82,0.5,25500
7010,D. van de Beek,23,Manchester United,83,87,183,163,Netherlands,CM,70,80,78,78,72,80,125,33000
7270,M. Ødegaard,21,Real Madrid,83,89,178,150,Norway,CAM,78,75,84,85,58,63,135,36000
7632,M. Acuña,28,Sevilla FC,83,83,173,152,Argentina,LB,76,74,82,86,78,82,41,22000
7786,J. Gomez,23,Liverpool,83,88,188,170,England,CB,82,30,66,69,83,80,93,31000
8015,S. Bergwijn,22,Tottenham Hotspur,83,88,178,172,Netherlands,CAM,87,79,78,85,39,72,105,34500
8326,Nélson Semedo,26,Wolverhampton Wanderers,83,86,178,152,Portugal,RWB,92,57,69,82,77,76,100,28000
8465,F. Mendy,25,Real Madrid,83,88,180,161,France,LB,92,64,76,79,78,82,160,30500
8629,D. Zakaria,23,Borussia Mönchengladbach,83,87,190,176,Switzerland,CDM,83,64,75,77,81,85,45,30500
8786,A. Wan-Bissaka,22,Manchester United,83,88,183,159,England,RB,86,51,68,80,82,74,115,30500
9020,Ronaldo Cabrais,28,Grêmio,83,83,178,165,Brazil,RM,88,77,83,84,35,72,49,26000
9062,Gabriel Jesus,23,Manchester City,83,87,175,161,Brazil,ST,85,82,72,87,42,71,150,34500
9259,O. Dembélé,23,FC Barcelona,83,89,178,148,France,LM,92,77,77,87,36,56,175,35500
10203,A. Hakimi,21,Inter,83,88,180,161,Morocco,RM,94,70,76,82,72,76,92,35000
11283,F. Valverde,21,Real Madrid,83,90,183,172,Uruguay,CM,86,74,78,79,77,80,135,36000
27,G. Buffon,42,Juventus,82,82,193,203,Italy,GK,77,76,74,78,33,91,41,2200
193,Xabi Alonso,34,FC Bayern München,82,82,183,176,Spain,CM,33,71,86,74,72,68,100,6000
261,D. De Rossi,35,Boca Juniors,82,82,183,183,Italy,CB,59,64,73,69,85,77,20,7000
306,Victor Valdés,34,Middlesbrough,82,82,183,172,Spain,GK,81,78,75,83,42,84,40,13000
479,V. Kompany,33,RSC Anderlecht,82,82,190,187,Belgium,CB,50,53,68,63,83,78,29,10500
569,Dani Alves,35,Paris Saint-Germain,82,82,173,150,Brazil,CAM,76,71,82,85,76,66,60,4800
571,Santi Cazorla,35,Spain,82,82,168,143,Spain,CM,62,79,85,85,66,60,0,0
737,Raúl Albiol,34,Villarreal CF,82,82,188,163,Spain,CB,45,41,62,63,86,75,41,8000
970,Diego Alves,31,Valencia CF,82,82,188,183,Brazil,GK,86,75,76,85,54,76,30,16000
1062,I. Rakitić,32,Sevilla FC,82,82,183,172,Croatia,CM,61,79,85,78,75,69,39,17000
1381,M. Özil,31,Arsenal,82,82,180,157,Germany,CAM,64,69,85,83,24,55,100,19500
1391,Jonas,34,SL Benfica,82,82,180,163,Brazil,CF,62,85,76,82,38,63,20,11500
1439,D. Payet,33,Olympique de Marseille,82,82,175,170,France,LW,70,79,84,85,39,67,59,13500
1447,L. Bender,31,Bayer 04 Leverkusen,82,82,185,172,Germany,RB,60,64,72,72,84,77,72,16000
1573,Sergio Asenjo,31,Villarreal CF,82,82,188,192,Spain,GK,84,82,77,82,56,80,34,14000
1645,Willian,31,Arsenal,82,82,175,170,Brazil,RW,82,79,80,85,49,59,110,19500
1689,I. Perišić,31,Inter,82,82,185,176,Croatia,LM,79,81,78,78,62,76,115,19500
1751,F. Muslera,34,Galatasaray SK,82,82,190,163,Uruguay,GK,84,76,75,83,61,82,64,9500
1896,J. Boateng,31,FC Bayern München,82,82,193,198,Germany,CB,70,50,72,65,82,79,82,16500
1933,M. Arnautović,31,Austria,82,82,193,183,Austria,ST,80,82,79,79,44,81,24,20000
2023,A. Kolarov,34,Inter,82,82,188,179,Serbia,LB,68,74,81,76,82,77,105,8000
2101,A. Ramsey,29,Juventus,82,82,183,168,Wales,CM,68,77,79,80,68,73,98,21500
2545,Canales,29,Real Betis,82,82,175,143,Spain,CAM,78,80,83,83,65,68,36,21500
